"","NAME","gender","prc_under18E","prc_under18M","prc_over65E","prc_over65M"
"281","Carroll","Female",0.185246504782929,0.0413071234963449,0.254966887417219,0.03956325804651
"282","Carroll","Male",0.28,0.0449473497525551,0.172435233160622,0.0335685429467369
"283","Carson","Female",0.216216216216216,0.081896902152926,0.250614250614251,0.0914974036124948
"284","Carson","Male",0.208333333333333,0.0996545759711516,0.184895833333333,0.0923168367955399
"285","Carter Lake","Female",0.299431818181818,0.0883347864140527,0.186931818181818,0.0652900165960937
"286","Carter Lake","Male",0.265717092337917,0.0855604000185545,0.0997053045186641,0.0342944534329721
"287","Cascade","Female",0.268544600938967,0.0875780846370929,0.197183098591549,0.0631182843920653
"288","Cascade","Male",0.324401913875598,0.117181543205999,0.146411483253589,0.0572143728929081
"289","Casey","Female",0.164021164021164,0.0908525617337558,0.227513227513228,0.0916038999617987
"290","Casey","Male",0.214285714285714,0.0934718577574876,0.19327731092437,0.0910835256778478
"291","Castalia","Female",0.10958904109589,0.101418650641471,0.301369863013699,0.237250907965156
"292","Castalia","Male",0.176470588235294,0.201773722634173,0.305882352941176,0.19812823674193
"293","Castana","Female",0.286885245901639,0.241160084330162,0.204918032786885,0.12718083764608
"294","Castana","Male",0.160919540229885,0.17950090329514,0.229885057471264,0.208019165352993
"295","Cedar Falls","Female",0.173155115203066,0.019435250799923,0.157078095060055,0.0184910253346915
"296","Cedar Falls","Male",0.192796942888552,0.0211292947259105,0.141024969900016,0.0216732620965765
"297","Cedar Rapids","Female",0.209949125456331,0.0108216729690852,0.17973228554254,0.0110000037723095
"298","Cedar Rapids","Male",0.237039748188273,0.011880940441069,0.135055998828783,0.00981644422170629
"299","Center Junction CDP, Iowa","Female",0.176470588235294,0.448050494957065,0.509803921568627,0.634572801320546
"300","Center Junction CDP, Iowa","Male",0,0.266666666666667,0.533333333333333,0.670913289460947
"301","Center Point","Female",0.277046783625731,0.0752175632806742,0.170321637426901,0.0591438721682082
"302","Center Point","Male",0.2166392092257,0.0567891042280965,0.129324546952224,0.0508783454180979
"303","Centerville","Female",0.213452299245024,0.0460886064539899,0.267673301304049,0.0518950074160899
"304","Centerville","Male",0.215252152521525,0.0478110315398093,0.186961869618696,0.0568462542378508
"305","Central City","Female",0.247244094488189,0.0860841201959558,0.173228346456693,0.0556598218542845
"306","Central City","Male",0.254448398576512,0.0842692006197528,0.144128113879004,0.0586752346282877
"307","Centralia","Female",0.258064516129032,0.272259576626104,0.145161290322581,0.267452535096371
"308","Centralia","Male",0.306666666666667,0.308631438674468,0.146666666666667,0.238537039078516
"309","Chapin CDP, Iowa","Female",0.388888888888889,0.485186755879718,0.222222222222222,0.330329023448131
"310","Chapin CDP, Iowa","Male",0,0.588235294117647,0.676470588235294,1.20493004748974
"311","Chariton","Female",0.236098020735156,0.0483703333078401,0.241281809613572,0.0447644107373277
"312","Chariton","Male",0.249154997585707,0.0520529530811275,0.173346209560599,0.0480258322846076
"313","Charles City","Female",0.216312056737589,0.0424933625365281,0.293313069908815,0.0548761137676249
"314","Charles City","Male",0.233555491161982,0.0533880585991583,0.200811359026369,0.0441841866638675
"315","Charlotte","Female",0.317365269461078,0.193558663130825,0.0778443113772455,0.105089962749288
"316","Charlotte","Male",0.273743016759777,0.159095013872194,0.184357541899441,0.15628339971689
"317","Charter Oak","Female",0.298181818181818,0.146187317852222,0.272727272727273,0.183879227342117
"318","Charter Oak","Male",0.332225913621262,0.156176023654969,0.219269102990033,0.112224549577859
